Gene_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	species_taxid	Source
MGYG-HGUT-03379	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea anthophila	NA	470931	MGYG
MGYG-HGUT-03401	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus capitis	NA	29388	MGYG
MGYG-HGUT-03390	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pseudescherichia	Pseudescherichia vulneris	NA	566	MGYG
MGYG-HGUT-03392	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis	NA	28037	MGYG
MGYG-HGUT-03393	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea ananatis	NA	553	MGYG
MGYG-HGUT-03399	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia ureilytica	NA	300181	MGYG
MGYG-HGUT-03402	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus lactis	NA	228574	MGYG
MGYG-HGUT-03407	Bacteria	Tenericutes	NA	Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma	Metamycoplasma hominis	NA	2098	MGYG
MGYG-HGUT-03440	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Anaerobiospirillum	Anaerobiospirillum succiniciproducens	NA	13335	MGYG
MGYG-HGUT-03514	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter intestinalis	NA	28122	MGYG
MGYG-HGUT-03687	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polymyxa	NA	1406	MGYG
MGYG-HGUT-03727	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus lacrimalis	NA	33031	MGYG
MGYG-HGUT-03721	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus urinimassiliensis	NA	1871017	MGYG
MGYG-HGUT-03722	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Jonquetella	Jonquetella anthropi	NA	428712	MGYG
MGYG-HGUT-03812	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella colorans	NA	1703337	MGYG
MGYG-HGUT-03753	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Criibacterium	Criibacterium bergeronii	NA	1871336	MGYG
MGYG-HGUT-03734	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Afipia	Afipia broomeae	NA	56946	MGYG
MGYG-HGUT-03731	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella amnii	NA	419005	MGYG
MGYG-HGUT-03761	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	NA	40324	MGYG
MGYG-HGUT-03736	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus metallidurans	NA	119219	MGYG
MGYG-HGUT-03732	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	NA	74426	MGYG
MGYG-HGUT-03739	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis	NA	1303	MGYG
MGYG-HGUT-04516	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia vaginalis	NA	187101	MGYG
MGYG-HGUT-03755	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium urinimassiliense	NA	1871014	MGYG
MGYG-HGUT-03762	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium aurimucosum	NA	169292	MGYG
MGYG-HGUT-03765	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella bergensis	NA	242750	MGYG
MGYG-HGUT-03775	Bacteria	Firmicutes	Tissierellia	NA	NA	Ezakiella	Ezakiella massiliensis	NA	1852374	MGYG
MGYG-HGUT-03780	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus	NA	33032	MGYG
MGYG-HGUT-03787	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	NA	74426	MGYG
MGYG-HGUT-03803	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea conspicua	NA	472705	MGYG
MGYG-HGUT-03804	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Epilithonimonas	Epilithonimonas bovis	NA	421530	MGYG
MGYG-HGUT-04291	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella tannerae	NA	76122	MGYG
MGYG-HGUT-03847	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	NA	74426	MGYG
MGYG-HGUT-03864	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	NA	74426	MGYG
MGYG-HGUT-03982	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	NA	74426	MGYG
